City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Ukiah,US,39.1502,-123.2078,67.51,48,0,3.44,clear sky
203,Vardo,NO,70.3705,31.1107,27.1,79,100,27.96,overcast clouds
204,Jalu,LY,29.0331,21.5482,54.54,49,0,5.97,clear sky
205,East London,ZA,-33.0153,27.9116,69.48,89,94,17.07,light rain
206,Margate,GB,51.3813,1.3862,51.66,75,100,11.01,overcast clouds
207,Dabakala,CI,8.3667,-4.4333,74.61,18,5,3.89,clear sky
208,Sao Joao Evangelista,BR,-18.5478,-42.7633,67.68,99,100,3.83,overcast clouds
209,Srednekolymsk,RU,67.45,153.6833,-31.11,97,32,2.89,scattered clouds
210,Aksu,CN,41.1231,80.2644,22.39,80,100,4.5,overcast clouds
211,Touros,BR,-5.1989,-35.4608,81.5,71,5,11.27,clear sky
212,Hofn,IS,64.2539,-15.2082,29.59,64,100,15.64,overcast clouds
213,Mersing,MY,2.4312,103.8405,77.79,88,100,11.16,overcast clouds
214,Lebu,CL,-37.6167,-73.65,58.89,81,0,18.39,clear sky
215,La Ronge,CA,55.1001,-105.2842,-4.31,99,92,1.88,overcast clouds
216,Chateaubelair,VC,13.2833,-61.25,75.81,72,10,8.79,clear sky
217,Haines Junction,CA,60.7522,-137.5108,26.2,96,100,3.38,overcast clouds
218,Bahia Blanca,AR,-38.7196,-62.2724,61.52,56,80,11.1,broken clouds
219,Sobolevo,RU,54.4299,31.8996,30.06,94,97,14.18,light snow
220,Khatanga,RU,71.9667,102.5,-20.15,98,100,4.25,overcast clouds
221,Kalabo,ZM,-14.97,22.6814,66.31,98,100,2.01,moderate rain
222,Torbay,CA,47.6666,-52.7314,46.58,95,100,5.99,moderate rain
223,Vila,PT,42.0304,-8.1588,37.33,82,0,4.14,clear sky
224,Hambantota,LK,6.1241,81.1185,72.19,87,32,11.59,scattered clouds
225,San Juan De La Maguana,DO,18.8059,-71.2299,66.33,63,5,2.13,clear sky
226,Xining,CN,36.6167,101.7667,11.14,88,100,2.89,overcast clouds
227,Bitlis,TR,38.5,42.25,5.47,65,9,3.13,clear sky
228,Cherskiy,RU,68.75,161.3,-28.88,98,25,1.5,scattered clouds
229,Majene,ID,-3.5403,118.9707,82.72,72,56,2.93,broken clouds
230,Cayenne,GF,4.9333,-52.3333,80.1,85,75,4.0,broken clouds
231,Salinopolis,BR,-0.6136,-47.3561,78.1,86,100,8.99,overcast clouds
232,Semporna,MY,4.4818,118.6112,79.36,84,100,4.65,light rain
233,Kashi,CN,39.4547,75.9797,26.22,87,100,4.97,overcast clouds
234,Vao,NC,-22.6667,167.4833,80.58,85,14,10.63,few clouds
235,Samarai,PG,-10.6167,150.6667,84.72,70,100,4.43,overcast clouds
236,Ulaangom,MN,49.9811,92.0667,-24.39,94,97,3.22,overcast clouds
237,Puro,PH,12.4841,123.3827,80.17,72,24,15.77,few clouds
238,Sorong,ID,-0.8833,131.25,83.43,73,100,10.87,overcast clouds
239,Tual,ID,-5.6667,132.75,83.32,74,70,6.96,broken clouds
240,Catio,GW,11.2833,-15.25,72.59,80,4,2.51,clear sky
